date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:34:34	26020/26020	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2008:59:58%20GMT	https://lmpixels.com/demo/leven-html-new/light/index.html	C:/My%20Web%20Sites/portfolio/lmpixels.com/demo/leven-html-new/light/index.html	(from )
16:34:34	606/606	---MC-	302	error ('Found')	text/html	date:Thu,%2005%20Oct%202023%2011:04:34%20GMT	https://lmpixels.com/robots.txt		(from )
16:34:34	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225e8c6b7a-47e%22	https://lmpixels.com/demo/leven-html-new/light/favicon.ico	C:/My%20Web%20Sites/portfolio/lmpixels.com/demo/leven-html-new/light/favicon.ico	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
16:34:35	2478/2478	---MCZ	200	added ('OK')	text/css	etag:W/%225e7b2fd0-2483%22	https://lmpixels.com/demo/leven-html-new/light/css/normalize.css	C:/My%20Web%20Sites/portfolio/lmpixels.com/demo/leven-html-new/light/css/normalize.css	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
16:34:35	159515/159515	---MCZ	200	added ('OK')	text/css	etag:W/%225ddfcdf0-26f1b%22	https://lmpixels.com/demo/leven-html-new/light/css/bootstrap.min.css	C:/My%20Web%20Sites/portfolio/lmpixels.com/demo/leven-html-new/light/css/bootstrap.min.css	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
16:34:35	2912/2912	---MCZ	200	added ('OK')	text/css	etag:W/%22580fd9b6-1010%22	https://lmpixels.com/demo/leven-html-new/light/css/owl.carousel.css	C:/My%20Web%20Sites/portfolio/lmpixels.com/demo/leven-html-new/light/css/owl.carousel.css	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
16:34:35	5810/5810	---MCZ	200	added ('OK')	text/css	etag:W/%2258aacbc8-1e66%22	https://lmpixels.com/demo/leven-html-new/light/css/magnific-popup.css	C:/My%20Web%20Sites/portfolio/lmpixels.com/demo/leven-html-new/light/css/magnific-popup.css	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
16:34:36	84820/84820	---MCZ	200	added ('OK')	text/css	etag:W/%225fcba60d-1c463%22	https://lmpixels.com/demo/leven-html-new/light/css/main.css	C:/My%20Web%20Sites/portfolio/lmpixels.com/demo/leven-html-new/light/css/main.css	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
16:34:36	9358/9358	---MCZ	200	added ('OK')	application/javascript	etag:W/%22588b7e0e-257f%22	https://lmpixels.com/demo/leven-html-new/light/js/modernizr.custom.js	C:/My%20Web%20Sites/portfolio/lmpixels.com/demo/leven-html-new/light/js/modernizr.custom.js	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
16:34:36	25554/25554	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2015:16:34%20GMT	https://lmpixels.com/demo/leven-html-new/light/index-2.html	C:/My%20Web%20Sites/portfolio/lmpixels.com/demo/leven-html-new/light/index-2.html	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
16:34:37	17473/17473	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2015:14:12%20GMT	https://lmpixels.com/demo/leven-html-new/light/resume.html	C:/My%20Web%20Sites/portfolio/lmpixels.com/demo/leven-html-new/light/resume.html	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
16:34:37	15919/15919	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2015:16:54%20GMT	https://lmpixels.com/demo/leven-html-new/light/portfolio.html	C:/My%20Web%20Sites/portfolio/lmpixels.com/demo/leven-html-new/light/portfolio.html	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
16:34:38	15917/15917	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2015:17:10%20GMT	https://lmpixels.com/demo/leven-html-new/light/portfolio-2-columns.html	C:/My%20Web%20Sites/portfolio/lmpixels.com/demo/leven-html-new/light/portfolio-2-columns.html	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
16:34:38	15918/15918	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2015:17:28%20GMT	https://lmpixels.com/demo/leven-html-new/light/portfolio-4-columns.html	C:/My%20Web%20Sites/portfolio/lmpixels.com/demo/leven-html-new/light/portfolio-4-columns.html	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
16:34:38	15918/15918	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2015:17:46%20GMT	https://lmpixels.com/demo/leven-html-new/light/portfolio-5-columns.html	C:/My%20Web%20Sites/portfolio/lmpixels.com/demo/leven-html-new/light/portfolio-5-columns.html	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
16:34:38	14033/14033	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2015:15:22%20GMT	https://lmpixels.com/demo/leven-html-new/light/blog.html	C:/My%20Web%20Sites/portfolio/lmpixels.com/demo/leven-html-new/light/blog.html	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
16:34:39	14035/14035	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2015:16:08%20GMT	https://lmpixels.com/demo/leven-html-new/light/blog-3-columns.html	C:/My%20Web%20Sites/portfolio/lmpixels.com/demo/leven-html-new/light/blog-3-columns.html	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
16:34:39	11650/11650	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Apr%202020%2008:00:26%20GMT	https://lmpixels.com/demo/leven-html-new/light/contact.html	C:/My%20Web%20Sites/portfolio/lmpixels.com/demo/leven-html-new/light/contact.html	(from https://lmpixels.com/demo/leven-html-new/light/index.html)
